annotator,model,column,full_match,partial_match
R4,gpt-4o-2024-08-06,naive_all_fixed,0.25510204081632654,0.8673469387755102
R4,gpt-4o-2024-08-06,naive_selected_fixed_sep_kw_40,0.24489795918367346,0.8673469387755102
R4,gpt-4o-2024-08-06,naive_selected_fixed_sep_kw_80,0.21428571428571427,0.8367346938775511
R4,gpt-4o-2024-08-06,naive_selected_fixed_train_journ_40,0.24489795918367346,0.8571428571428571
R4,gpt-4o-2024-08-06,naive_selected_custom_sep_kw_40,0.3163265306122449,0.8367346938775511
R4,gpt-4o-2024-08-06,naive_selected_custom_sep_kw_80,0.2653061224489796,0.8163265306122449
R4,gpt-4o-2024-08-06,naive_selected_custom_train_journ_40,0.2653061224489796,0.8163265306122449
R4,gpt-4o-2024-08-06,chain_all_fixed,0.21428571428571427,0.8571428571428571
R4,gpt-4o-2024-08-06,chain_selected_fixed_sep_kw_40,0.17346938775510204,0.8877551020408163
R4,gpt-4o-2024-08-06,chain_selected_fixed_sep_kw_80,0.19387755102040816,0.8469387755102041
R4,gpt-4o-2024-08-06,chain_selected_fixed_train_journ_40,0.1836734693877551,0.8673469387755102
R4,gpt-4o-2024-08-06,chain_selected_custom_sep_kw_40,0.24489795918367346,0.8469387755102041
R4,gpt-4o-2024-08-06,chain_selected_custom_sep_kw_80,0.25510204081632654,0.8367346938775511
R4,gpt-4o-2024-08-06,chain_selected_custom_train_journ_40,0.22448979591836735,0.8367346938775511
R4,gpt-4o-2024-08-06,chain_all_custom,0.2653061224489796,0.8469387755102041
R4,gpt-4o-2024-08-06,naive_all_custom,0.2653061224489796,0.8367346938775511
R4,gpt-4o-mini-2024-07-18,chain_all_custom,0.20408163265306123,0.826530612244898
R4,gpt-4o-mini-2024-07-18,naive_all_fixed,0.17346938775510204,0.7653061224489796
R4,gpt-4o-mini-2024-07-18,naive_all_custom,0.20408163265306123,0.8571428571428571
R4,gpt-4o-mini-2024-07-18,chain_all_fixed,0.17346938775510204,0.7755102040816326
R4,gpt-4o-mini-2024-07-18,chain_selected_custom_sep_kw_40,0.29591836734693877,0.826530612244898
R4,gpt-4o-mini-2024-07-18,chain_selected_custom_train_journ_40,0.2653061224489796,0.7857142857142857
R4,gpt-4o-mini-2024-07-18,chain_selected_fixed_sep_kw_40,0.29591836734693877,0.8367346938775511
R4,gpt-4o-mini-2024-07-18,chain_selected_fixed_train_journ_40,0.25510204081632654,0.8061224489795918
R4,gpt-4o-mini-2024-07-18,naive_selected_fixed_sep_kw_40,0.2857142857142857,0.8367346938775511
R4,gpt-4o-mini-2024-07-18,naive_selected_fixed_train_journ_40,0.23469387755102042,0.8061224489795918
R4,gpt-4o-mini-2024-07-18,naive_selected_custom_sep_kw_40,0.2857142857142857,0.826530612244898
R4,gpt-4o-mini-2024-07-18,naive_selected_custom_train_journ_40,0.29591836734693877,0.8061224489795918
R4,Mistral-7B-Instruct-v0.1,naive_all_fixed,0.2755102040816326,0.5816326530612245
R4,Mistral-7B-Instruct-v0.1,naive_selected_fixed_sep_kw_40,0.3877551020408163,0.6836734693877551
R4,Mistral-7B-Instruct-v0.1,naive_selected_fixed_train_journ_40,0.3877551020408163,0.6938775510204082
R4,Mistral-7B-Instruct-v0.1,chain_selected_custom_sep_kw_40,0.23469387755102042,0.7551020408163265
R4,Mistral-7B-Instruct-v0.1,chain_selected_custom_train_journ_40,0.2755102040816326,0.7959183673469388
R4,Mistral-7B-Instruct-v0.1,chain_all_fixed,0.16326530612244897,0.6224489795918368
R4,Mistral-7B-Instruct-v0.1,chain_all_custom,0.1836734693877551,0.7244897959183674
R4,Mistral-7B-Instruct-v0.1,chain_selected_fixed_sep_kw_40,0.22448979591836735,0.7448979591836735
R4,Mistral-7B-Instruct-v0.1,chain_selected_fixed_train_journ_40,0.25510204081632654,0.7040816326530612
R4,Mistral-7B-Instruct-v0.1,naive_all_custom,0.2653061224489796,0.7040816326530612
R4,Mistral-7B-Instruct-v0.1,naive_selected_custom_sep_kw_40,0.3163265306122449,0.7040816326530612
R4,Mistral-7B-Instruct-v0.1,naive_selected_custom_train_journ_40,0.2857142857142857,0.7040816326530612
R4,gemini-1.5-flash-001,chain_all_custom,0.12244897959183673,0.826530612244898
R4,gemini-1.5-flash-001,chain_selected_fixed_sep_kw_40,0.20408163265306123,0.8367346938775511
R4,gemini-1.5-flash-001,chain_selected_fixed_train_journ_40,0.1836734693877551,0.8061224489795918
R4,gemini-1.5-flash-001,chain_selected_custom_sep_kw_40,0.16326530612244897,0.826530612244898
R4,gemini-1.5-flash-001,chain_selected_custom_train_journ_40,0.14285714285714285,0.8163265306122449
R4,gemini-1.5-flash-001,chain_all_fixed,0.12244897959183673,0.8163265306122449
R4,gemini-1.5-flash-001,naive_all_custom,0.1836734693877551,0.826530612244898
R4,gemini-1.5-flash-001,naive_all_fixed,0.1836734693877551,0.8061224489795918
R4,gemini-1.5-flash-001,naive_selected_fixed_sep_kw_40,0.24489795918367346,0.826530612244898
R4,gemini-1.5-flash-001,naive_selected_fixed_sep_kw_80,0.1836734693877551,0.8469387755102041
R4,gemini-1.5-flash-001,naive_selected_fixed_train_journ_40,0.19387755102040816,0.8469387755102041
R4,gemini-1.5-flash-001,naive_selected_custom_sep_kw_40,0.25510204081632654,0.8571428571428571
R4,gemini-1.5-flash-001,naive_selected_custom_sep_kw_80,0.23469387755102042,0.8469387755102041
R4,gemini-1.5-flash-001,naive_selected_custom_train_journ_40,0.24489795918367346,0.8367346938775511
R4,gemini-1.5-pro-001,chain_all_custom,0.16326530612244897,0.7448979591836735
R4,gemini-1.5-pro-001,chain_all_fixed,0.22448979591836735,0.7448979591836735
R4,gemini-1.5-pro-001,chain_selected_fixed_sep_kw_40,0.22448979591836735,0.7959183673469388
R4,gemini-1.5-pro-001,chain_selected_fixed_train_journ_40,0.2755102040816326,0.826530612244898
R4,gemini-1.5-pro-001,chain_selected_custom_sep_kw_40,0.2653061224489796,0.7959183673469388
R4,gemini-1.5-pro-001,chain_selected_custom_train_journ_40,0.22448979591836735,0.7448979591836735
R4,gemini-1.5-pro-001,naive_all_fixed,0.3673469387755102,0.8061224489795918
R4,gemini-1.5-pro-001,naive_selected_fixed_sep_kw_40,0.3673469387755102,0.8367346938775511
